epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,4272.89,0.39815,0.28129,0.87736,0.95574,0.95402,0.97877,0.88602,0.37947,0.26656,0.85454,0.0189862,0.00632875,0.0189862,0.00632875,0.0189862,0.00632875,0.0189862,0.00632875
91,4322,0.39518,0.27922,0.87604,0.95804,0.95088,0.97961,0.88606,0.37287,0.25899,0.85498,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
92,4369.96,0.39632,0.27981,0.8726,0.96493,0.94994,0.98144,0.89091,0.36553,0.26001,0.84167,0.0187387,0.00624625,0.0187387,0.00624625,0.0187387,0.00624625,0.0187387,0.00624625
93,4419.01,0.395,0.27959,0.87406,0.96802,0.94627,0.98086,0.88826,0.37417,0.26121,0.85834,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
94,4467.38,0.39404,0.27626,0.87259,0.96246,0.95312,0.98173,0.88944,0.37153,0.26662,0.85067,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
95,4514.92,0.3872,0.27086,0.8722,0.96057,0.95365,0.9806,0.88768,0.37202,0.26803,0.86225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
96,4562.44,0.39417,0.27695,0.87473,0.96338,0.95109,0.98065,0.88936,0.36656,0.26197,0.85393,0.0182437,0.00608125,0.0182437,0.00608125,0.0182437,0.00608125,0.0182437,0.00608125
97,4611.08,0.39336,0.2759,0.87431,0.96569,0.94979,0.98019,0.8899,0.36022,0.2562,0.84369,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
98,4658.76,0.38962,0.2742,0.872,0.96101,0.9497,0.98099,0.89137,0.36669,0.25669,0.84667,0.0179963,0.00599875,0.0179963,0.00599875,0.0179963,0.00599875,0.0179963,0.00599875
99,4706.3,0.3878,0.27391,0.87009,0.96364,0.94997,0.98181,0.89037,0.37016,0.25825,0.85639,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
100,4753.24,0.38809,0.2716,0.87086,0.96416,0.94749,0.98295,0.89108,0.36813,0.26082,0.85512,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
101,4799.76,0.38759,0.26824,0.87072,0.95078,0.95972,0.97955,0.88942,0.36428,0.2556,0.8519,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
102,4846.59,0.38799,0.27077,0.87077,0.96052,0.95424,0.97991,0.8911,0.3591,0.26557,0.8528,0.0175012,0.00583375,0.0175012,0.00583375,0.0175012,0.00583375,0.0175012,0.00583375
103,4892.58,0.38581,0.27014,0.86964,0.9632,0.95263,0.9803,0.89075,0.36605,0.25623,0.8607,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
104,4940.26,0.38364,0.27061,0.87107,0.96396,0.94581,0.98031,0.88917,0.35542,0.25403,0.85085,0.0172537,0.00575125,0.0172537,0.00575125,0.0172537,0.00575125,0.0172537,0.00575125
105,4988.83,0.38419,0.26793,0.86929,0.96046,0.95038,0.97814,0.88958,0.35558,0.25406,0.84308,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
106,5037.68,0.38346,0.26836,0.87111,0.96488,0.94903,0.98059,0.89064,0.36013,0.25716,0.85065,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
107,5086.54,0.38352,0.26847,0.86903,0.96194,0.95191,0.98012,0.89225,0.35237,0.25249,0.84096,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
108,5134.93,0.38252,0.26715,0.86857,0.96261,0.95088,0.9801,0.89087,0.36282,0.25473,0.85717,0.0167587,0.00558625,0.0167587,0.00558625,0.0167587,0.00558625,0.0167587,0.00558625
109,5182.52,0.38139,0.26566,0.86764,0.95242,0.95679,0.98105,0.89291,0.36378,0.25327,0.85114,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
110,5231.04,0.37863,0.26417,0.86671,0.95283,0.95774,0.97957,0.88915,0.36165,0.24955,0.84812,0.0165113,0.00550375,0.0165113,0.00550375,0.0165113,0.00550375,0.0165113,0.00550375
111,5280.69,0.38073,0.26421,0.8665,0.96051,0.95581,0.98183,0.89199,0.36167,0.25526,0.84796,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
112,5328.47,0.37249,0.26344,0.86632,0.95935,0.95456,0.98068,0.89232,0.35135,0.2499,0.84933,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
113,5376.23,0.37359,0.26241,0.86555,0.96079,0.95431,0.98054,0.89175,0.35477,0.25222,0.8512,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
114,5424.38,0.37557,0.26197,0.86682,0.96096,0.95368,0.98051,0.89332,0.35655,0.25497,0.85138,0.0160162,0.00533875,0.0160162,0.00533875,0.0160162,0.00533875,0.0160162,0.00533875
115,5472.62,0.37894,0.26203,0.86764,0.95728,0.95897,0.982,0.89342,0.36003,0.25361,0.85465,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
116,5521.98,0.37303,0.25896,0.86673,0.96511,0.95138,0.9807,0.89206,0.358,0.25112,0.84708,0.0157687,0.00525625,0.0157687,0.00525625,0.0157687,0.00525625,0.0157687,0.00525625
117,5570.26,0.37552,0.26086,0.86606,0.95968,0.95634,0.98076,0.8936,0.35676,0.24646,0.84173,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
118,5618.68,0.37403,0.2634,0.86464,0.96363,0.95516,0.98213,0.89351,0.35622,0.25221,0.84932,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
119,5666.34,0.37174,0.2598,0.86464,0.95388,0.95887,0.98056,0.89273,0.35641,0.24692,0.84934,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
120,5713.27,0.37333,0.26102,0.86375,0.95781,0.9532,0.98051,0.89316,0.35835,0.2519,0.8503,0.0152737,0.00509125,0.0152737,0.00509125,0.0152737,0.00509125,0.0152737,0.00509125
121,5760.84,0.37248,0.25941,0.86463,0.9607,0.95405,0.98084,0.89394,0.35941,0.25522,0.84985,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
122,5808.49,0.37086,0.25908,0.8645,0.95959,0.95772,0.98139,0.89354,0.35411,0.24721,0.85125,0.0150262,0.00500875,0.0150262,0.00500875,0.0150262,0.00500875,0.0150262,0.00500875
123,5856.6,0.37125,0.25794,0.86501,0.95927,0.95712,0.98103,0.89343,0.35836,0.25251,0.85135,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
124,5904.88,0.36926,0.25681,0.8661,0.95838,0.95859,0.98092,0.89419,0.34971,0.24356,0.85168,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
125,5953.19,0.36945,0.25685,0.86565,0.95721,0.95361,0.98072,0.89575,0.34684,0.24288,0.84881,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
126,6001.37,0.36998,0.25894,0.86245,0.96576,0.95269,0.98155,0.89376,0.35223,0.24587,0.8487,0.0145312,0.00484375,0.0145312,0.00484375,0.0145312,0.00484375,0.0145312,0.00484375
127,6048.66,0.36809,0.25531,0.86588,0.9638,0.95322,0.98119,0.89553,0.34842,0.24292,0.84977,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
128,6095.71,0.36694,0.25692,0.86143,0.96025,0.95324,0.98013,0.89237,0.3586,0.25028,0.84764,0.0142837,0.00476125,0.0142837,0.00476125,0.0142837,0.00476125,0.0142837,0.00476125
129,6143.27,0.36573,0.25523,0.86143,0.96155,0.94999,0.98025,0.89447,0.35134,0.24869,0.84269,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
130,6191.28,0.36347,0.25273,0.86282,0.96366,0.9515,0.98094,0.89398,0.34772,0.24289,0.84748,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
