epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2876.63,0.41262,0.29119,0.86333,0.95644,0.94833,0.97923,0.86788,0.40031,0.26756,0.86232,0.000625062,0.000625062,0.000625062
103,2904.55,0.41182,0.28938,0.86633,0.95793,0.95126,0.97929,0.87141,0.39382,0.2558,0.86767,0.000618875,0.000618875,0.000618875
104,2931.96,0.40915,0.28584,0.86597,0.96251,0.9484,0.98099,0.87099,0.39258,0.25796,0.86187,0.000612687,0.000612687,0.000612687
105,2960.55,0.41033,0.28647,0.86539,0.96035,0.95065,0.98115,0.86975,0.39474,0.2603,0.86522,0.0006065,0.0006065,0.0006065
106,2988.02,0.40767,0.28654,0.86337,0.95808,0.95238,0.97855,0.87298,0.38843,0.2561,0.84728,0.000600313,0.000600313,0.000600313
107,3016.51,0.4059,0.28189,0.86224,0.95981,0.95345,0.97925,0.87028,0.39145,0.25443,0.85817,0.000594125,0.000594125,0.000594125
108,3044.71,0.40826,0.2839,0.86289,0.96577,0.94846,0.98091,0.87095,0.39436,0.25167,0.85448,0.000587938,0.000587938,0.000587938
109,3073.23,0.40379,0.28589,0.86376,0.96566,0.94228,0.97988,0.87028,0.3906,0.25097,0.85235,0.00058175,0.00058175,0.00058175
110,3099.94,0.40401,0.28187,0.85985,0.96716,0.93914,0.97895,0.86941,0.3951,0.25958,0.84867,0.000575563,0.000575563,0.000575563
111,3127.48,0.40949,0.2876,0.86498,0.95854,0.94576,0.97951,0.86961,0.39478,0.25882,0.87095,0.000569375,0.000569375,0.000569375
112,3155.3,0.40233,0.28222,0.8619,0.95586,0.9533,0.97938,0.87143,0.38983,0.25229,0.85927,0.000563187,0.000563187,0.000563187
113,3182.89,0.40228,0.28072,0.86099,0.96159,0.95245,0.97983,0.87437,0.38639,0.24775,0.85778,0.000557,0.000557,0.000557
114,3212.51,0.40635,0.2828,0.86239,0.95308,0.95073,0.97835,0.8718,0.38354,0.25446,0.86435,0.000550813,0.000550813,0.000550813
